통계 년도,통계 코드,컬럼 명,컬럼 영문명,전체 척 수,전체 톤수,전체 마력,동력 척 수,동력 톤수,동력 마력,무동력 척 수,무동력 톤수,최초 생성 시점,최종 변경 시점
2019,1010,  - 원   양   연   승    어   업,Long Line,125,56330,155140,125,56330,155140,0,0,2020-11-19,2020-11-19
2019,1000,원       양        어       업,Distant Waters Angling,211,139608.27,388031,211,139608.27,388031,0,0,2020-11-19,2020-11-19
2019,0,총                          계,Total,65835,557340.94,16140657,65050,556201.72,16140657,785,1139.22,2020-11-19,2020-11-19
2019,2160,  - 근   해   통   발    어   업,Off-Shore Trap,199,11281.31,164987,199,11281.31,164987,0,0,2020-11-19,2020-11-19
2019,2170,  - 근   해   형   망    어   업,Off-Shore Dredge Net,44,489.24,26532,44,489.24,26532,0,0,2020-11-19,2020-11-19
2019,6990,  - 기                        타,Others,2136,13205.42,379892,2064,13017.64,379892,72,187.78,2020-11-19,2020-11-19
2019,6030,  - 시   험   및    교   습   선,Experiment & Education Boats,51,21848.05,63748,51,21848.05,63748,0,0,2020-11-19,2020-11-19
2019,6020,  - 지    도      단    속    선,Patrol Boats,163,43964.82,208883,163,43964.82,208883,0,0,2020-11-19,2020-11-19
2019,6010,  - 어   획   물    운   반   선,Fish Carrier,398,28034.52,235444,398,28034.52,235444,0,0,2020-11-19,2020-11-19
2019,6000,기       타        어       업,Others,2748,107052.81,887967,2676,106865.03,887967,72,187.78,2020-11-19,2020-11-19
2019,5010,  - 내    수    면     어     업,Inland Waters Fisheries,3067,1966.38,191422,2774,1888.87,191422,293,77.51,2020-11-19,2020-11-19
2019,5000,내     수     면     어     업,Inland Waters Fisheries,3067,1966.38,191422,2774,1888.87,191422,293,77.51,2020-11-19,2020-11-19
2019,4010,  - 천      해        양      식,Shallow Sea Culture,19347,59810.3,3746130,19259,59665.81,3746130,88,144.49,2020-11-19,2020-11-19
2019,4000,양            식            업,Culture,19347,59810.3,3746130,19259,59665.81,3746130,88,144.49,2020-11-19,2020-11-19
2019,3990,  - 연      안        기      타,Coastal Others,0,0,0,0,0,0,0,0,2020-11-19,2020-11-19
2019,3140,  - 정    치    망     어     업,Set Nets,656,6119.19,170453,605,6004.09,170453,51,115.1,2020-11-19,2020-11-19
2019,3130,  - 구  획  어  업  (이  동  성),Sectional Fishery(Non-Setting),304,505.27,42589,270,481.56,42589,34,23.71,2020-11-19,2020-11-19
2019,3120,  - 구  획  어  업  (정  치  성),Sectional Fishery(Setting),1892,5868.08,428802,1852,5802.87,428802,40,65.21,2020-11-19,2020-11-19
2019,3110,  - 연   안   복   합    어   업,Coastal Muiti Fishery,16719,46875.86,3726233,16631,46679.7,3726233,88,196.16,2020-11-19,2020-11-19
2019,3100,  - 연  안   선  인  망   어  업,Coastal Drag Nets,0,0,0,0,0,0,0,0,2020-11-19,2020-11-19
2019,3090,  - 연   안   조   망    어   업,Coastal Beam Trawl,12,47.74,2910,12,47.74,2910,0,0,2020-11-19,2020-11-19
2019,2180,  - 근   해   연   승    어   업,Off-Shore Long Line,227,7155.1,161680,227,7155.1,161680,0,0,2020-11-19,2020-11-19
2019,3000,연       안        어       업,Coastal Fisheries,37785,119043.45,8919423,37453,118314.01,8919423,332,729.44,2020-11-19,2020-11-19
2019,3010,  - 연  안   유  자  망   어  업,Coastal Gill Net,12592,39925.58,3059771,12493,39644.26,3059771,99,281.32,2020-11-19,2020-11-19
2019,3020,  - 연  안   안  강  망   어  업,Coastal Stow Net,412,3163.7,197932,412,3163.7,197932,0,0,2020-11-19,2020-11-19
2019,3030,  - 연   안   형   망    어   업,Coastal Dredge Nets,1,1.04,0,0,0,0,1,1.04,2020-11-19,2020-11-19
2019,3040,  - 연   안   선   망    어   업,Coastal Purse Seines,257,1790.08,105328,254,1787.77,105328,3,2.31,2020-11-19,2020-11-19
2019,3080,  - 연   안   들   망    어   업,Coastal Lift Nets,101,485.94,30849,101,485.94,30849,0,0,2020-11-19,2020-11-19
2019,3070,  - 연   안   통   발    어   업,Coastal Trap,4839,14260.97,1154556,4823,14216.38,1154556,16,44.59,2020-11-19,2020-11-19
2019,3060,  - 연  안   채  낚  기   어  업,Coastal Angling,0,0,0,0,0,0,0,0,2020-11-19,2020-11-19
2019,3050,  - 연   안   연   승    어   업,Coastal Long Line,0,0,0,0,0,0,0,0,2020-11-19,2020-11-19
2018,2120,  - 근  해   유  자  망   어  업,Off-Shore Gill Net,395,11543.75,280106,395,11543.75,280106,0,0,2019-10-23,2019-10-23
2018,2130,  - 근  해   안  강  망   어  업,Off-Shore Stow Net,207,10428.41,169694,207,10428.41,169694,0,0,2019-10-23,2019-10-23
2018,2140,  - 근  해   봉  수  망   어  업,Off-Shore Stick-held Dip Net,3,42.32,1245,3,42.32,1245,0,0,2019-10-23,2019-10-23
2018,2150,  - 잠    수    기      어    업,Diving,235,1298.99,125101,235,1298.99,125101,0,0,2019-10-23,2019-10-23
2018,2110,  - 기  선   권  현  망   어  업,Anchovy Drag Net,387,19269.85,209119,387,19269.85,209119,0,0,2019-10-23,2019-10-23
2018,2100,  - 근  해   채  낚  기   어  업,Off-Shore Angling,460,16980.56,289496,460,16980.56,289496,0,0,2019-10-23,2019-10-23
2018,2090,  - 소   형   선   망    어   업,Small Powered Purse Seines,85,1151.74,51563,85,1151.74,51563,0,0,2019-10-23,2019-10-23
2018,2080,  - 대   형   선   망    어   업,Large Powered Purse Seines,142,23712.25,199828,142,23712.25,199828,0,0,2019-10-23,2019-10-23
2018,2070,  - 동  해  구  트  롤   어   업,Eastern Sea Trawl,38,2065,46830,38,2065,46830,0,0,2019-10-23,2019-10-23
2018,2060,  - 대   형   트   롤    어   업,Large Otter Trawl,52,7011,78022,52,7011,78022,0,0,2019-10-23,2019-10-23
2018,2050,  - 중형기선 저인망 어업(쌍끌이),Trawl Medium(Two Boat),18,1022,6505,18,1022,6505,0,0,2019-10-23,2019-10-23
2018,2040,  - 중형기선 저인망 어업(외끌이),Trawl Medium(One Boat),42,2306.84,18181,42,2306.84,18181,0,0,2019-10-23,2019-10-23
2018,2030,  - 동해구 기 선 저 인 망  어 업,Eastern Sea Danish Seine,38,1721.46,17389,38,1721.46,17389,0,0,2019-10-23,2019-10-23
2018,2020,  - 대형기선 저인망 어업(쌍끌이),Trawl Large(Two Boat),70,8181,93820,70,8181,93820,0,0,2019-10-23,2019-10-23
2018,2010,  - 대형기선 저인망 어업(외끌이),Trawl Large(One Boat),43,2751.72,31397,43,2751.72,31397,0,0,2019-10-23,2019-10-23
2018,2000,근       해         어      업,Off-Shore Fisheries,2720,128615.72,1976309,2720,128615.72,1976309,0,0,2019-10-23,2019-10-23
2018,1990,  - 기   타   원   양    어   업,Others,0,0,0,0,0,0,0,0,2019-10-23,2019-10-23
2018,1070,  - 원   양   통   발    어   업,Distant Waters Trap,1,60,480,1,60,480,0,0,2019-10-23,2019-10-23
2018,1060,  - 원  양  채  낚  기   어   업,Distant Waters Angling,30,13348.95,46320,30,13348.95,46320,0,0,2019-10-23,2019-10-23
2018,1050,  - 원  양  봉  수  망   어   업,Distant Waters Stick-held Dip Net,7,3713.96,11700,7,3713.96,11700,0,0,2019-10-23,2019-10-23
2018,1040,  - 원  양  유  자  망   어   업,Distant Waters Floating Gill Net,0,0,0,0,0,0,0,0,2019-10-23,2019-10-23
2018,1030,  - 원   양   선   망    어   업,Distant Waters Purse Seines,31,37959.83,123544,31,37959.83,123544,0,0,2019-10-23,2019-10-23
2018,0,총                          계,Total,65906,539018.32,15554590,65089,537852.86,15554590,817,1165.46,2019-10-23,2019-10-23
2018,1000,원       양        어       업,Distant Waters Angling,208,134319.37,377211,208,134319.37,377211,0,0,2019-10-23,2019-10-23
2018,1010,  - 원   양   연   승    어   업,Long Line,122,51577,143444,122,51577,143444,0,0,2019-10-23,2019-10-23
2018,1020,  - 원   양   트   롤    어   업,Otter Trawl,17,27659.63,51723,17,27659.63,51723,0,0,2019-10-23,2019-10-23
2018,2160,  - 근   해   통   발    어   업,Off-Shore Trap,184,10679.86,148715,184,10679.86,148715,0,0,2019-10-23,2019-10-23
2018,2170,  - 근   해   형   망    어   업,Off-Shore Dredge Net,67,755.77,38380,67,755.77,38380,0,0,2019-10-23,2019-10-23
2018,6990,  - 기                        타,Others,2031,7332.56,301235,1980,7240.65,301235,51,91.91,2019-10-23,2019-10-23
2018,6030,  - 시   험   및    교   습   선,Experiment & Education Boats,54,22507.84,64775,54,22507.84,64775,0,0,2019-10-23,2019-10-23
2018,6020,  - 지    도      단    속    선,Patrol Boats,167,42226.79,212082,167,42226.79,212082,0,0,2019-10-23,2019-10-23
2018,6010,  - 어   획   물    운   반   선,Fish Carrier,405,28000.69,236531,405,28000.69,236531,0,0,2019-10-23,2019-10-23
2018,6000,기       타        어       업,Others,2657,100067.88,814623,2606,99975.97,814623,51,91.91,2019-10-23,2019-10-23
2018,5010,  - 내    수    면     어     업,Inland Waters Fisheries,3009,1914,185510,2702,1835.06,185510,307,78.94,2019-10-23,2019-10-23
2018,5000,내     수     면     어     업,Inland Waters Fisheries,3009,1914,185510,2702,1835.06,185510,307,78.94,2019-10-23,2019-10-23
2018,4010,  - 천      해        양      식,Shallow Sea Culture,18913,56143.62,3502493,18838,55999.86,3502493,75,143.76,2019-10-23,2019-10-23
